process,feature,unique_values,modal_value,modal_count,modal_share,zero_share,mean,standard_deviation,minimum,maximum,constant,near_constant_98_percent,dominant_value_80_percent,duplicate_of
WTi,Sensor_50,193,0.7112214642762718,128,0.0735632183908046,0.0005747126436781609,0.7092989255914507,0.049831708590996074,0.0,0.8305990622989773,False,False,False,
WTi,Sensor_51,900,0.4102612479169284,241,0.1385057471264368,0.0005747126436781609,0.40986951233178726,0.03218061119597818,0.0,0.7971304071368512,False,False,False,
WTi,Sensor_52,67,0.0365017124658758,1098,0.6310344827586207,0.014367816091954023,0.05389247087634194,0.06696268192468319,0.0,0.6257436422721578,False,False,False,
WTi,Sensor_53,2,0.981833535009077,1465,0.8419540229885057,0.15804597701149425,0.8266586947059182,0.3581572712317991,0.0,0.981833535009077,False,False,True,
WTi,Sensor_54,621,0.1670336797931872,99,0.056896551724137934,0.02413793103448276,0.09529352848816057,0.11656857877581168,0.0,0.8761044430290379,False,False,False,
WTi,Sensor_55,1467,0.0,87,0.05,0.05,0.10878461033121034,0.10003351658121117,0.0,0.9104354441000092,False,False,False,
WTi,Sensor_56,1555,0.1774511769656438,88,0.05057471264367816,0.0005747126436781609,0.1731245745581476,0.09956815733111206,0.0,0.66253397424092,False,False,False,
WTi,Sensor_57,1452,0.0,156,0.0896551724137931,0.0896551724137931,0.3252787635722608,0.11096052780300329,0.0,0.5579055948579197,False,False,False,
WTi,Sensor_58,1649,0.3462399353130568,88,0.05057471264367816,0.0005747126436781609,0.34135060127334377,0.10099576950112023,0.0,0.602047264830472,False,False,False,
WTi,Sensor_59,577,0.3099181144602203,91,0.052298850574712646,0.0005747126436781609,0.30582377964095514,0.10309070093700272,0.0,0.589550907379473,False,False,False,
WTi,Sensor_60,1653,0.581545082399358,88,0.05057471264367816,0.0005747126436781609,0.5835508414092286,0.03964345539212403,0.0,0.7081283294686772,False,False,False,
WTi,Sensor_61,1399,0.0017455224538634,84,0.04827586206896552,0.0005747126436781609,0.0036777035000570128,0.01826771371743263,0.0,0.5359266175554533,False,False,False,
WTi,Sensor_62,1144,0.0033411392141059,427,0.2454022988505747,0.0005747126436781609,0.006349707117368363,0.0274264468284153,0.0,0.583919786438118,False,False,False,
WTi,Sensor_63,1740,0.0654021234114398,1,0.0005747126436781609,0.0005747126436781609,0.09852765624016095,0.09040211385584832,0.0,0.8388857393895923,False,False,False,
WTi,Sensor_64,1412,0.0009882583482938,5,0.0028735632183908046,0.0005747126436781609,0.0023354228887003566,0.020449194297007478,0.0,0.8528470318202863,False,False,False,
WTi,Sensor_65,1740,0.2002115904214229,1,0.0005747126436781609,0.0005747126436781609,0.19041322229631563,0.09786276443983309,0.0,0.5412129565255891,False,False,False,
WTi,Sensor_66,1390,0.0330553264968757,88,0.05057471264367816,0.0005747126436781609,0.05034942413618151,0.08581704738131207,0.0,0.7168676526773049,False,False,False,
WTi,Sensor_67,994,0.7546589026404629,8,0.004597701149425287,0.0011494252873563218,0.7537916291237466,0.025570630578066886,0.0,0.7549476262649422,False,False,False,
